iter	Passed	Remaining
870	13815	17907
871	13829	17889
872	13846	17875
873	13860	17857
874	13876	17841
875	13891	17824
876	13907	17808
877	13923	17792
878	13936	17773
879	13951	17756
880	13967	17740
881	13982	17723
882	13997	17707
883	14014	17692
884	14030	17677
885	14044	17659
886	14060	17642
887	14075	17626
888	14091	17610
889	14108	17596
890	14125	17581
891	14138	17562
892	14153	17545
893	14169	17529
894	14183	17512
895	14199	17496
896	14215	17480
897	14229	17462
898	14244	17444
899	14260	17429
900	14275	17412
901	14288	17393
902	14305	17378
903	14321	17363
904	14336	17346
905	14351	17329
906	14367	17313
907	14381	17295
908	14393	17275
909	14410	17261
910	14427	17246
911	14442	17229
912	14457	17213
913	14474	17198
914	14492	17185
915	14506	17167
916	14523	17152
917	14540	17138
918	14558	17125
919	14573	17108
920	14591	17094
921	14606	17077
922	14622	17061
923	14637	17045
924	14653	17030
925	14669	17013
926	14685	16998
927	14701	16982
928	14716	16965
929	14729	16946
930	14744	16929
931	14758	16912
932	14772	16893
933	14788	16878
934	14803	16861
935	14818	16845
936	14833	16827
937	14847	16810
938	14861	16791
939	14874	16773
940	14891	16759
941	14905	16740
942	14920	16724
943	14935	16707
944	14951	16691
945	14967	16676
946	14982	16659
947	14997	16643
948	15014	16628
949	15031	16613
950	15045	16595
951	15062	16581
952	15078	16565
953	15097	16553
954	15112	16537
955	15127	16520
956	15144	16504
957	15158	16487
958	15174	16472
959	15192	16458
960	15206	16440
961	15222	16424
962	15237	16408
963	15254	16393
964	15272	16380
965	15287	16363
966	15301	16345
967	15315	16327
968	15329	16310
969	15346	16296
970	15363	16280
971	15377	16262
972	15391	16245
973	15405	16227
974	15419	16210
975	15434	16193
976	15449	16177
977	15465	16160
978	15478	16142
979	15494	16127
980	15510	16110
981	15523	16092
982	15540	16077
983	15556	16062
984	15572	16046
985	15587	16030
986	15602	16013
987	15618	15998
988	15633	15981
989	15648	15964
990	15662	15946
991	15677	15930
992	15692	15913
993	15707	15896
994	15722	15880
995	15735	15861
996	15748	15842
997	15763	15826
998	15777	15808
999	15789	15789
1000	15805	15774
1001	15819	15756
1002	15837	15742
1003	15853	15727
1004	15867	15709
1005	15882	15693
1006	15898	15677
1007	15914	15661
1008	15931	15647
1009	15949	15633
1010	15964	15617
1011	15979	15600
1012	15995	15584
1013	16011	15569
1014	16027	15553
1015	16043	15538
1016	16061	15524
1017	16079	15511
1018	16099	15498
1019	16118	15486
1020	16138	15474
1021	16156	15460
1022	16174	15447
1023	16192	15433
1024	16212	15421
1025	16228	15406
1026	16242	15388
1027	16257	15371
1028	16273	15356
1029	16289	15341
1030	16303	15323
1031	16321	15309
1032	16335	15291
1033	16351	15275
1034	16365	15258
1035	16380	15242
1036	16397	15227
1037	16411	15209
1038	16426	15192
1039	16441	15176
1040	16455	15159
1041	16470	15142
1042	16483	15124
1043	16499	15109
1044	16516	15094
1045	16530	15076
1046	16546	15060
1047	16564	15047
1048	16579	15030
1049	16599	15018
1050	16615	15003
1051	16629	14985
1052	16644	14968
1053	16657	14950
1054	16673	14935
1055	16689	14919
1056	16705	14903
1057	16723	14889
1058	16740	14874
1059	16757	14860
1060	16773	14844
1061	16790	14829
1062	16804	14812
1063	16821	14798
1064	16835	14780
1065	16851	14765
1066	16867	14749
1067	16884	14734
1068	16900	14719
